Algorytm;Rozmiar;Czas [ms];Pamięć [MB]
CSVReaderCase;4gb;80,66;4 799,07
FileReaderCase;4gb;68,87;4 460,50
ScannerWithoutValidation;4gb;106,00;4 234,30
FilesLinesCase;4gb;69,51;4 232,20
FilesLinesCase;100mb;1,30;1 115,68
CSVReaderWithoutValidation;100mb;2,01;1 932,92
BufferReaderCase;100mb;1,16;915,00
ScannerWithoutValidation;100mb;1,85;1 791,59
FileReaderCase;100mb;1,22;1 046,61
FileReaderWithoutValidation;100mb;1,27;1 631,98
CSVReaderCase;100mb;1,46;885,57
ScannerCase;100mb;1,71;1 211,35
FilesLinesWithoutValidation;100mb;1,32;814,75
BufferReaderWithoutValidation;100mb;1,23;676,63
FileReaderCase;250mb;3,29;1 257,63
BufferReaderCase;250mb;3,33;1 392,03
ScannerCase;250mb;4,64;1 179,92
FilesLinesWithoutValidation;250mb;3,35;2 202,01
ScannerWithoutValidation;250mb;4,96;1 415,48
BufferReaderWithoutValidation;250mb;3,42;1 121,84
CSVReaderCase;250mb;4,04;525,88
FilesLinesCase;250mb;3,24;2 134,18
FileReaderWithoutValidation;250mb;3,42;1 653,60
CSVReaderWithoutValidation;250mb;5,45;1 572,86
FilesLinesWithoutValidation;500mb;7,26;3 169,23
BufferReaderWithoutValidation;500mb;7,23;2 491,94
